ResourceID,Geometric Place Expression,Remote Sensing Assessor,Grid Square,Remote Sensing Object Name,Name Type,Remote Sensing Place Type,Assessment Date,Heritage Place Function Certainty,Heritage Place Function Sub-type,Remote Sensing Interpretation Type,Remote Sensing Interpretation Sub-type,Site Feature Interpretation Certainty,Site Feature Form Type,Site Feature Shape Type,Diameter,Length,Width,Central Mound Diameter,Archaeological Assessment Activity Type,Assessment Source,Overall Condition Assessment,Disturbance Cause Category,Disturbance Cause Type,Disturbance Cause Certainty,Damage Effect,Damage Effect Certainty,Threat Driver Type,Threat Type,Threat Probability,Remark,Remark Type,Cultural Period Type,30m SRTN Elevation,Aimag,Soum,Bag,Heritage Place Function Type
N14-219,POINT (91.33845692 48.85619458),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N14,N14-219,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,,,High,Mound,Circular,6,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,Environmental (Natural),Water Action,Definite,"""located in the river stream bed""",General Description,,1390,Khovd,,,Funerary
N14-220,POINT (91.33750071 48.8557931),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N14,N14-220,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,,,High,Mound,Circular,7,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,Environmental (Natural),Water Action,Definite,"""located in the river stream bed""",General Description,,1386,Khovd,,,Funerary
N14-221,POINT (91.33772735 48.85535631),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N14,N14-221,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,,,High,Mound,Circular,8,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,Environmental (Natural),Water Action,Definite,"""located in the river stream bed""",General Description,,1386,Khovd,,,Funerary
N14-222,POINT (91.33753155 48.85550367),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N14,N14-222,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,,,High,Mound,Circular,7,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,Environmental (Natural),Water Action,Definite,"""located in the river stream bed""",General Description,,1386,Khovd,,,Funerary
N14-223,POINT (91.33818394 48.85556503),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N14,N14-223,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,,,High,Mound,Circular,10,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,Environmental (Natural),Water Action,Definite,"""located in the river stream bed""",General Description,,1387,Khovd,,,Funerary
N14-224,POINT (91.33825569 48.85576666),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N14,N14-224,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,,,High,Mound,Circular,7,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,Environmental (Natural),Water Action,Definite,"""located in the river stream bed""",General Description,,1389,Khovd,,,Funerary
N14-225,POINT (91.33794858 48.85596343),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N14,N14-225,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,,,High,Mound,Circular,6,,,,Archaeological Assessment (Image Interpretation),Maxar,Poor,,,,,,Environmental (Natural),Water Action,Definite,"""located in the river stream bed""",General Description,,1388,Khovd,,,Funerary
N14-226,POINT (91.33778578 48.85553174),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N14,N14-226,MAPSS RS Number,Site Feature,2022-05-02,High,Burial,,,High,Mound,Circular,5,,,,Archaeological Assessment (Image Interpretation),Maxar,Poor,,,,,,Environmental (Natural),Water Action,Definite,"""located in the river stream bed""",General Description,,1387,Khovd,,,Funerary
N14-227,POINT (91.33722251 48.85545232),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N14,N14-227,MAPSS RS Number,Site Feature,2022-05-02,High,Burial,,,Medium,Mound,Circular,5,,,,Archaeological Assessment (Image Interpretation),Maxar,Poor,,,,,,Environmental (Natural),Water Action,Definite,"""located in the river stream bed""",General Description,,1386,Khovd,,,Funerary
N14-228,POINT (91.33860788 48.85608323),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N14,N14-228,MAPSS RS Number,Site Feature,2022-05-02,High,Burial,,,Medium,Mound,Circular,5,,,,Archaeological Assessment (Image Interpretation),Maxar,Poor,,,,,,Environmental (Natural),Water Action,Definite,"""located in the river stream bed""",General Description,,1391,Khovd,,,Funerary
N14-229,POINT (91.34530555 48.85841149),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N14,N14-229,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,,,High,Mound,Circular,8,,,,Archaeological Assessment (Image Interpretation),Maxar,Fair,,,,,,Environmental (Natural),Water Action,Definite,"""located in the river stream bed""",General Description,,1411,Khovd,,,Funerary
N14-230,POINT (91.33159142 48.85712435),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N14,N14-230,MAPSS RS Number,Site Feature,2022-05-02,Medium,Burial,,,Medium,Mound,Circular,5,,,,Archaeological Assessment (Image Interpretation),Maxar,Poor,,,,,,Environmental (Natural),Water Action,Definite,"""located in the river stream bed""",General Description,,1373,Khovd,,,Funerary
N14-231,POINT (91.32847234 48.85769503),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N14,N14-231,MAPSS RS Number,Site Feature,2022-05-02,Medium,Burial,,,Medium,Mound,Circular,5,,,,Archaeological Assessment (Image Interpretation),Maxar,Poor,,,,,,Environmental (Natural),Water Action,Definite,"""located in the river stream bed""",General Description,,1368,Khovd,,,Funerary
N14-232,POINT (91.35379306 48.86093876),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N14,N14-232,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,,,Medium,Mound,Circular,7,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,Environmental (Natural),Water Action,High,"""located on the river bank, type is not sure""",General Description,,1440,Khovd,,,Funerary
N14-233,POINT (91.35359191 48.8608819),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N14,N14-233,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,,,Medium,Mound,Circular,6,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,Environmental (Natural),Water Action,High,"""located on the river bank, type is not sure""",General Description,,1439,Khovd,,,Funerary
N14-234,POINT (91.353378 48.86074471),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N14,N14-234,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,,,Medium,Mound,Circular,7,,,,Archaeological Assessment (Image Interpretation),Maxar,Poor,,,,,,Environmental (Natural),Water Action,High,"""located on the river bank, type is not sure""",General Description,,1439,Khovd,,,Funerary
N14-235,POINT (91.35317482 48.86079808),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N14,N14-235,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,,,Medium,Mound,Circular,6,,,,Archaeological Assessment (Image Interpretation),Maxar,Poor,,,,,,Environmental (Natural),Water Action,High,"""located on the river bank, type is not sure""",General Description,,1439,Khovd,,,Funerary
N14-236,POINT (91.35335118 48.86085279),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N14,N14-236,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,,,Medium,Mound,Circular,6,,,,Archaeological Assessment (Image Interpretation),Maxar,Poor,,,,,,Environmental (Natural),Water Action,High,"""located on the river bank, type is not sure""",General Description,,1439,Khovd,,,Funerary
N14-237,POINT (91.35287167 48.86077464),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N14,N14-237,MAPSS RS Number,Site Feature,2022-05-02,Low,Burial,,,Low,Mound,Circular,4,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,Environmental (Natural),Water Action,High,"""located on the river bank, type is not sure""",General Description,,1438,Khovd,,,Funerary
N14-238,POINT (91.35071651 48.85996116),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N14,N14-238,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,,,Medium,Mound,Circular,13,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,Environmental (Natural),Water Action,High,"""located on the river bank, type is not sure""",General Description,,1430,Khovd,,,Funerary
N14-239,POINT (91.34887093 48.85956926),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N14,N14-239,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,,,High,Mound,Circular,11,,,,Archaeological Assessment (Image Interpretation),Maxar,Very Bad,Unknown,Unknown,Not Applicable,Collapse/Structural Damage,High,Environmental (Natural),Water Action,High,"""located on the river bank, partly destroyed""",General Description,,1425,Khovd,,,Funerary
N14-240,POINT (91.34669163 48.8585087),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N14,N14-240,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,,,Low,Mound,Circular,14,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,Environmental (Natural),Water Action,High,"""located on the river bank, type is not sure""",General Description,,1416,Khovd,,,Funerary
N14-241,POINT (91.3452875 48.85795547),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N14,N14-241,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,,,Medium,Mound,Circular,14,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,Looting/Illegal Activities,Looting/Unauthorised Removal of Objects,Low,Loss/Removal of Archaeological Material,Low,Environmental (Natural),Water Action,High,"""located on the river bank, type is not sure""",General Description,,1411,Khovd,,,Funerary
N14-242,POINT (91.34556913 48.8581787),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N14,N14-242,MAPSS RS Number,Site Feature,2022-05-02,High,Burial,,,Medium,Mound,Circular,7,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,Environmental (Natural),Water Action,High,"""located on the river bank, type is not sure""",General Description,,1412,Khovd,,,Funerary
N14-243,POINT (91.34341764 48.85706296),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N14,N14-243,MAPSS RS Number,Site Feature,2022-05-02,Low,Burial,,,Low,Mound,Circular,7,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,Looting/Illegal Activities,Looting/Unauthorised Removal of Objects,Medium,Loss/Removal of Archaeological Material,Medium,Environmental (Natural),Water Action,High,"""located on the river bank, type is not sure""",General Description,,1405,Khovd,,,Funerary
N14-244,POINT (91.341064 48.85605837),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N14,N14-244,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,,,Medium,Mound,Circular,14,,,,Archaeological Assessment (Image Interpretation),Maxar,Fair,,,,,,Environmental (Natural),Water Action,High,"""located on the river bank, type is not sure""",General Description,,1397,Khovd,,,Funerary
N14-245,POINT (91.34015205 48.85583425),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N14,N14-245,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,,,High,Mound,Circular,8,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,Environmental (Natural),Water Action,High,"""located on the river bank""",General Description,,1394,Khovd,,,Funerary
N14-246,POINT (91.3396545 48.85556865),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N14,N14-246,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,,,High,Mound,Circular,7,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,Environmental (Natural),Water Action,High,"""located on the river bank""",General Description,,1392,Khovd,,,Funerary
N14-247,POINT (91.336591 48.85405331),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N14,N14-247,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,,,High,Mound,Circular,8,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,Environmental (Natural),Water Action,High,"""located on the river bank""",General Description,,1382,Khovd,,,Funerary
N14-248,POINT (91.33621281 48.85440363),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N14,N14-248,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,,,High,Mound,Circular,8,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,Environmental (Natural),Water Action,High,"""located on the river bank""",General Description,,1380,Khovd,,,Funerary
N14-249,POINT (91.33487491 48.85390076),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N14,N14-249,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,,,High,Mound,Circular,7,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,Environmental (Natural),Water Action,High,"""located on the river bank""",General Description,,1377,Khovd,,,Funerary
N14-250,POINT (91.33231489 48.85347797),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N14,N14-250,MAPSS RS Number,Site Feature,2022-05-02,High,Burial,,,High,Mound,Circular,8,,,,Archaeological Assessment (Image Interpretation),Maxar,Poor,,,,,,Environmental (Natural),Water Action,High,"""located on the river bank""",General Description,,1370,Khovd,,,Funerary
N14-251,POINT (91.33265687 48.85338002),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N14,N14-251,MAPSS RS Number,Site Feature,2022-05-02,Medium,Burial,,,Medium,Mound,Circular,5,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,Environmental (Natural),Water Action,High,"""located on the river bank""",General Description,,1370,Khovd,,,Funerary
N14-252,POINT (91.37967337 48.86352664),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N14,N14-252,MAPSS RS Number,Site Feature,2022-05-02,Low,Settlement/Habitation,,,Low,Mound,Circular,5,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,,,,,,,1540,Khovd,,,Funerary
N14-253,POINT (91.3654433 48.86291012),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N14,N14-253,MAPSS RS Number,Site Feature,2022-05-02,Medium,Settlement/Habitation,Campsite,Summer Camp,Medium,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,,,,,,,,,,"""A0""",General Description,,1479,Khovd,,,Architectural/Settlement
N14-254,POINT (91.28326568 48.85852279),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N14,N14-254,MAPSS RS Number,Site Feature,2022-05-02,Definite,Settlement/Habitation,Campsite,Summer Camp,High,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,,,,,,,,,,"""A1""",General Description,,1309,Khovd,,,Architectural/Settlement
N14-255,POINT (91.3784271 48.85530393),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N14,N14-255,MAPSS RS Number,Site Feature,2022-05-02,High,Burial,Khirigsuur,Circle Khirigsuur,High,,Circular,13,,,7,Archaeological Assessment (Image Interpretation),Maxar,Poor,,,,,,Environmental (Natural),Water Action,Definite,"""located in the river stream bed""",General Description,Bronze Age,1559,Khovd,,,Funerary
N14-256,POINT (91.3770868 48.85592186),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N14,N14-256,MAPSS RS Number,Site Feature,2022-05-02,High,Burial,,,High,Mound,Circular,6,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,Environmental (Natural),Water Action,Definite,"""located in the river stream bed""",General Description,,1553,Khovd,,,Funerary
N14-257,POINT (91.36757832 48.85149627),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N14,N14-257,MAPSS RS Number,Site Feature,2022-05-02,High,Burial,,,High,Mound,Circular,9,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,Environmental (Natural),Water Action,Definite,"""located in the river stream bed""",General Description,,1480,Khovd,,,Funerary
N14-258,POINT (91.3645206 48.85201163),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N14,N14-258,MAPSS RS Number,Site Feature,2022-05-02,High,Burial,,,High,Mound,Circular,12,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,Environmental (Natural),Water Action,Definite,"""located in the river stream bed""",General Description,,1464,Khovd,,,Funerary
N14-259,POINT (91.36377227 48.8517063),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N14,N14-259,MAPSS RS Number,Site Feature,2022-05-02,High,Burial,,,High,Mound,Circular,8,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,Environmental (Natural),Water Action,Definite,"""located in the river stream bed""",General Description,,1461,Khovd,,,Funerary
N14-260,POINT (91.36180105 48.85159116),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N14,N14-260,MAPSS RS Number,Site Feature,2022-05-02,High,Burial,,,High,Mound,Circular,6,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,Environmental (Natural),Water Action,Definite,"""located in the river stream bed""",General Description,,1451,Khovd,,,Funerary
N14-261,POINT (91.36015552 48.85143055),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N14,N14-261,MAPSS RS Number,Site Feature,2022-05-02,High,Burial,,,High,Mound,Circular,6,,,,Archaeological Assessment (Image Interpretation),Maxar,Poor,,,,,,Environmental (Natural),Water Action,Definite,"""located in the river stream bed""",General Description,,1444,Khovd,,,Funerary
N14-262,POINT (91.36236594 48.8495133),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N14,N14-262,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,,,Medium,Mound,Circular,17,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,Environmental (Natural),Water Action,Definite,"""located in the river stream bed""",General Description,,1449,Khovd,,,Funerary
N14-263,POINT (91.36285962 48.84883692),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N14,N14-263,MAPSS RS Number,Site Feature,2022-05-02,High,Burial,,,High,Mound,Circular,6,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,Environmental (Natural),Water Action,Definite,"""located in the river stream bed""",General Description,,1450,Khovd,,,Funerary
N14-264,POINT (91.36158154 48.84890929),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N14,N14-264,MAPSS RS Number,Site Feature,2022-05-02,High,Burial,,,High,Mound,Circular,7,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,Environmental (Natural),Water Action,Definite,"""located in the river stream bed""",General Description,,1445,Khovd,,,Funerary
N14-265,POINT (91.35932977 48.84849445),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N14,N14-265,MAPSS RS Number,Site Feature,2022-05-02,High,Burial,,,High,Mound,Circular,6,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,Environmental (Natural),Water Action,Definite,"""located in the river stream bed""",General Description,,1434,Khovd,,,Funerary
N14-266,POINT (91.35941292 48.84955964),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N14,N14-266,MAPSS RS Number,Site Feature,2022-05-02,High,Burial,,,High,Mound,Circular,6,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,Environmental (Natural),Water Action,Definite,"""located in the river stream bed""",General Description,,1435,Khovd,,,Funerary
N14-267,POINT (91.35863469 48.84943204),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N14,N14-267,MAPSS RS Number,Site Feature,2022-05-02,High,Burial,,,High,Mound,Circular,6,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,Environmental (Natural),Water Action,Definite,"""located in the river stream bed""",General Description,,1433,Khovd,,,Funerary
N14-268,POINT (91.35799364 48.84944616),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N14,N14-268,MAPSS RS Number,Site Feature,2022-05-02,High,Burial,,,High,Mound,Circular,8,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,Looting/Illegal Activities,Looting/Unauthorised Removal of Objects,Medium,Loss/Removal of Archaeological Material,Medium,Environmental (Natural),Water Action,Definite,"""located in the river stream bed""",General Description,,1431,Khovd,,,Funerary
N14-269,POINT (91.35754303 48.84926083),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N14,N14-269,MAPSS RS Number,Site Feature,2022-05-02,High,Burial,,,High,Mound,Circular,6,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,Environmental (Natural),Water Action,Definite,"""located in the river stream bed""",General Description,,1427,Khovd,,,Funerary
N14-270,POINT (91.35825784 48.84945057),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N14,N14-270,MAPSS RS Number,Site Feature,2022-05-02,High,Burial,,,High,Mound,Circular,6,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,Environmental (Natural),Water Action,Definite,"""located in the river stream bed""",General Description,,1432,Khovd,,,Funerary
N14-271,POINT (91.35810089 48.84660199),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N14,N14-271,MAPSS RS Number,Site Feature,2022-05-02,High,Burial,,,High,Mound,Circular,8,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,Environmental (Natural),Water Action,Definite,"""located in the river stream bed""",General Description,,1424,Khovd,,,Funerary
N14-272,POINT (91.35774952 48.84657816),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N14,N14-272,MAPSS RS Number,Site Feature,2022-05-02,High,Burial,,,High,Mound,Circular,6,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,Environmental (Natural),Water Action,Definite,"""located in the river stream bed""",General Description,,1422,Khovd,,,Funerary
N14-273,POINT (91.35762815 48.84639989),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N14,N14-273,MAPSS RS Number,Site Feature,2022-05-02,Low,Burial,,,Low,Mound,Circular,4,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,Environmental (Natural),Water Action,Definite,"""located in the river stream bed""",General Description,,1420,Khovd,,,Funerary
N14-274,POINT (91.35994849 48.84587305),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",N14,N14-274,MAPSS RS Number,Site Feature,2022-05-02,High,Burial,,,High,Mound,Circular,6,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,Environmental (Natural),Water Action,Definite,"""located in the river stream bed""",General Description,,1427,Khovd,,,Funerary
